id,theme,question_text,option_a,option_b,option_c,option_d,correct_answer,image_url
1,Institutions et Pratiques,Quel est l’organe administratif local de la foi bahá’íe ?,L’Assemblée Spirituelle Locale,La Maison Universelle de Justice,Le Conseil International d’Enseignement,Le Gardiennat,L’Assemblée Spirituelle Locale,
2,Institutions et Pratiques,Quel est l’organe administratif mondial de la foi bahá’íe ?,L’Assemblée Spirituelle Locale,La Maison Universelle de Justice,Le Conseil International d’Enseignement,Le Gardiennat,La Maison Universelle de Justice,
3,Institutions et Pratiques,Combien de jours dure le jeûne bahá’í ?,7,19,30,40,19,
4,Institutions et Pratiques,Quel est le nom des temples bahá’ís ?,Mosquées,Églises,Maisons d’Adoration,Synagogues,Maisons d’Adoration,
5,Institutions et Pratiques,Combien de membres composent une Assemblée Spirituelle Locale ?,5,7,9,12,9,
6,Institutions et Pratiques,Combien de membres composent la Maison Universelle de Justice ?,5,7,9,12,9,
7,Institutions et Pratiques,Quel est le nom des temples bahá’ís ?,Mosquées,Églises,Maisons d’Adoration,Synagogues,Maisons d’Adoration,
8,Institutions et Pratiques,Combien de jours dure le jeûne bahá’í ?,7,19,30,40,19,
9,Institutions et Pratiques,Quel est le nom des fêtes bahá’íes célébrant le début du mois ?,Ayyám-i-Há,Naw-Rúz,Ridván,Fêtes des Dix-Neuf Jours,Fêtes des Dix-Neuf Jours,
10,Institutions et Pratiques,Quel est le nom de la fête bahá’íe célébrant le nouvel an ?,Ayyám-i-Há,Naw-Rúz,Ridván,Fêtes des Dix-Neuf Jours,Naw-Rúz,
11,Institutions et Pratiques,Quel est le nom de la fête bahá’íe célébrant la déclaration de Bahá’u’lláh ?,Ayyám-i-Há,Naw-Rúz,Ridván,Fêtes des Dix-Neuf Jours,Ridván,
12,Institutions et Pratiques,Quel est le nom de la période de jeûne bahá’íe ?,Ayyám-i-Há,Naw-Rúz,Ridván,Jeûne,Jeûne,
13,Institutions et Pratiques,Quel est le nom des jours intercalaires dans le calendrier bahá’í ?,Ayyám-i-Há,Naw-Rúz,Ridván,Fêtes des Dix-Neuf Jours,Ayyám-i-Há,
14,Institutions et Pratiques,Combien de jours compte Ayyám-i-Há ?,4 ou 5,7,19,30,4 ou 5,
15,Institutions et Pratiques,Quel est le nom des assemblées spirituelles locales ?,Assemblées Spirituelles Locales,Maison Universelle de Justice,Conseil International d’Enseignement,Gardiennat,Assemblées Spirituelles Locales,
16,Institutions et Pratiques,Combien de membres composent une Assemblée Spirituelle Locale ?,5,7,9,12,9,
17,Institutions et Pratiques,Quel est le nom des assemblées spirituelles nationales ?,Assemblées Spirituelles Nationales,Maison Universelle de Justice,Conseil International d’Enseignement,Gardiennat,Assemblées Spirituelles Nationales,
18,Institutions et Pratiques,Combien de membres composent une Assemblée Spirituelle Nationale ?,5,7,9,12,9,
